EoICode,StationType,StationArea,CountryOrTerritory,Network,Latitude,Longitude,StationName
CZ0ASUC,Background,Suburban,Czechia,National automated monitoring network (SIS),50.12652969360352,14.384638786315918,Praha 6-Suchdol
CZ0AKOB,Background,Suburban,Czechia,National automated monitoring network (SIS),50.12218856811523,14.467577934265135,Praha 8-Kobylisy
CZ0KSOM,Background,Suburban,Czechia,National automated monitoring network (SIS),50.17282485961914,12.672818183898926,Sokolov
CZ0TCER,Background,Rural-Regional,Czechia,National automated monitoring network (SIS),49.77714157104492,17.541946411132812,Cervena hora
CZ0ULOM,Background,Rural-Near_city,Czechia,National automated monitoring network (SIS),50.58576583862305,13.673418045043945,Lom
CZ0LSOU,Background,Rural-Regional,Czechia,National automated monitoring network (SIS),50.78964614868164,15.319683074951172,Sous
CZ0AVYN,Traffic,Urban,Czechia,National automated monitoring network (SIS),50.11108016967773,14.503095626831055,Praha 9-Vysocany
CZ0LJIZ,Background,Rural-Regional,Czechia,National automated monitoring network (SIS),50.81995391845703,15.34448528289795,Jizerka
CZ0ULTT,Background,Urban,Czechia,National automated monitoring network (SIS),50.54089736938477,14.11940860748291,Litomerice
CZ0UMED,Background,Rural-Near_city,Czechia,National automated monitoring network (SIS),50.427589416503906,13.13014316558838,Medenec
CZ0PPLV,Background,Suburban,Czechia,National automated monitoring network (SIS),49.76861572265625,13.423380851745605,Plzen-Doubravka
CZ0URVH,Background,Rural-Regional,Czechia,National automated monitoring network (SIS),50.579833984375,13.419506072998047,Rudolice v Horach
CZ0MPRR,Background,Urban,Czechia,National automated monitoring network (SIS),49.45165634155274,17.454158782958984,Prerov
CZ0THAR,Background,Urban,Czechia,National automated monitoring network (SIS),49.790977478027344,18.406835556030273,Havirov
CZ0USNZ,Background,Rural-Regional,Czechia,National automated monitoring network (SIS),50.78944396972656,14.086798667907715,Sneznik
CZ0TOFF,Background,Urban,Czechia,National automated monitoring network (SIS),49.83918762207031,18.26368904113769,Ostrava-Fifejdy
CZ0PPLB,Background,Urban,Czechia,National automated monitoring network (SIS),49.7283935546875,13.375539779663086,Plzen-Bory
CZ0BLOC,Background,Rural-Regional,Czechia,National automated monitoring network (SIS),49.068748474121094,17.07072639465332,Lovcice
CZ0SPRI,Traffic,Urban,Czechia,National automated monitoring network (SIS),49.68494415283203,14.007740020751953,Pribram
CZ0AKAL,Traffic,Urban,Czechia,National automated monitoring network (SIS),50.09423828125,14.442049026489258,Praha 8-Karlin
CZ0BBNI,Background,Urban,Czechia,National automated monitoring network (SIS),49.21321105957031,16.678024291992188,Brno-Lisen
CZ0TFMI,Background,Suburban,Czechia,National automated monitoring network (SIS),49.671791076660156,18.351070404052734,Frydek-Mistek
CZ0UCHM,Background,Urban,Czechia,National automated monitoring network (SIS),50.467529296875,13.41269588470459,Chomutov
CZ0UDCM,Background,Urban,Czechia,National automated monitoring network (SIS),50.77415084838867,14.218793869018555,Decin
CZ0ALEG,Traffic,Urban,Czechia,National automated monitoring network (SIS),50.0723876953125,14.430672645568848,Praha 2-Legerova
CZ0ZZLN,Background,Suburban,Czechia,National automated monitoring network (SIS),49.23290634155274,17.66717529296875,Zlin
CZ0CVOD,Background,Suburban,Czechia,National automated monitoring network (SIS),49.14667129516602,14.171667098999025,Vodnany
CZ0ZVSH,Background,Suburban,Czechia,National automated monitoring network (SIS),49.34444808959961,17.99601173400879,Vsetin - hvezdarna
CZ0ASTO,Background,Urban,Czechia,National automated monitoring network (SIS),50.0461311340332,14.331413269042967,Praha 5-Stodulky
CZ0SKUH,Background,Suburban,Czechia,National automated monitoring network (SIS),49.96129989624024,15.273127555847168,Kutna Hora
CZ0HJIC,Background,Urban,Czechia,National automated monitoring network (SIS),50.43949890136719,15.352641105651855,Jicin
CZ0PKUJ,Background,Rural-Near_city,Czechia,National automated monitoring network (SIS),49.72200012207031,13.618537902832033,Kamenny Ujezd
CZ0CHVO,Background,Rural-Regional,Czechia,National automated monitoring network (SIS),48.72419738769531,14.723381996154785,Hojna Voda
